Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:58:12 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1986-0139-VNM,1986,0139,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,Central,,,,,,,,,Km2,,,,,1986,12,3,1986,12,3,165,,,,,,,,,,,37.45311166,,,,
1986-0109-VNM,1986,0109,,Natural,Meteorological,Storm,Tropical cyclone,,Wayne (N°5),Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Nam Ninh, Thai Binh, Hason Binh, Haiphong, Quang Ninh provinces",,,,,No,No,,120,Kph,,,,,1986,9,6,1986,9,6,435,2502,2500000,,2502502,,,,,,,37.45311166,,,,
1987-0200-VNM,1987,0200,,Natural,Meteorological,Storm,Tropical cyclone,,Maury,Viet Nam,VNM,South-Eastern Asia,Asia,"Nghia Binh, Phu Khahu Provinces",,,,,,,,,Kph,,,,,1987,11,18,1987,11,18,101,211,584800,352000,937011,,,,,,,38.82560081,,,,
1987-9029-VNM,1987,9029,,Natural,Climatological,Drought,Drought,,,Viet Nam,VNM,South-Eastern Asia,Asia,Northern Provinces,,,,,,,,,Km2,,,,,1987,,,1987,,,,,,,,,,,,,,38.82560081,,,,
1987-0363-VNM,1987,0363,,Natural,Meteorological,Storm,,,,Viet Nam,VNM,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1987,12,,1987,12,,22,,,,,,,,,,,38.82560081,,,,
1988-0460-VNM,1988,0460,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,Nghe Tinh,,,,,,,,110,Kph,,,,,1988,10,10,1988,10,10,137,,600000,,600000,,,,,,,40.40880605,,,,
1988-0503-VNM,1988,0503,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Dong Nai, Phu Khanh, Thuan Ha provinces",,,,,,,,,Kph,,,,,1988,11,6,1988,11,6,20,,720000,,720000,,,,,,,40.40880605,,,,
1989-0178-VNM,1989,0178,,Natural,Meteorological,Storm,Tropical cyclone,,Cecil,Viet Nam,VNM,South-Eastern Asia,Asia,Da Nang city (Quang Nam Danang province),,Flood,,,No,No,,,Kph,,,,,1989,5,25,1989,5,25,751,106,,336000,336106,,,,,21000,49576,42.35934309,,,,
1989-0104-VNM,1989,0104,,Natural,Meteorological,Storm,Tropical cyclone,,Irving,Viet Nam,VNM,South-Eastern Asia,Asia,Thanh Hoa province,,,,,,,,,Kph,,,,,1989,7,24,1989,7,24,104,491,1000000,445000,1445491,,,,,,,42.35934309,,,,
1989-0128-VNM,1989,0128,,Natural,Meteorological,Storm,Tropical cyclone,,"Brian, Angela, Dan",Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe Tinh, Binh Tri Thien provinces",,,,,,,,,Kph,,,,,1989,10,,1989,10,,104,762,4635000,,4635762,,,,,,,42.35934309,,,,
